C.Type,E.Type,C.Env,E.Env,C.Rep,E.Rep,Species,Individual,FrondArea
Ancestral,Modified,5,6,1,A,Wc,3,0.2801
Derived,Original,8,5,1,B,Wc,9,0.2804
Derived,Original,3,5,2,A,Wc,10,0.2811
Derived,Original,3,5,2,B,Wc,10,0.2811
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Modified,5,8,1,B,Wc,3,0.2821
Ancestral,Original,5,5,1,B,Wc,4,0.2821
Ancestral,Modified,5,8,2,A,Wc,1,0.2824
Ancestral,Modified,5,8,2,B,Wc,1,0.2824
Ancestral,Modified,5,9,1,A,Wc,3,0.2831
Ancestral,Modified,5,4,1,A,Wc,5,0.2839
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Modified,5,4,2,A,Wc,1,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Ancestral,Original,5,5,2,B,Wc,2,0.2852
Derived,Modified,9,9,2,A,Wc,2,0.286
Derived,Modified,9,9,2,A,Wc,5,0.286
Derived,Modified,7,7,2,B,Wc,3,0.2861
Derived,Modified,6,6,1,B,Wc,9,0.2871
Derived,Original,8,5,1,B,Wc,5,0.2875
Derived,Modified,9,9,2,A,Wc,10,0.2878
Derived,Original,2,5,2,A,Wc,6,0.2881
Ancestral,Modified,5,6,2,B,Wc,3,0.2883
Derived,Modified,9,9,1,A,Wc,1,0.2887
Derived,Modified,8,8,2,A,Wc,4,0.2891
